id;start_date;end_date;language
1;2021-03-06T18:29:31;2021-03-06T16:19:46;SPANISH
2;2021-03-05T23:19:42;2021-03-06T18:24:07;SPANISH
3;2021-03-06T14:15:01;2021-03-06T00:49:10;FRENCH
4;2021-03-06T05:32:32;2021-03-06T17:03:58;FRENCH
5;2021-03-06T15:02:50;2021-03-06T19:49:49;FRENCH
6;2021-03-06T08:55:11;2021-03-06T21:03:25;FRENCH
7;2021-03-06T10:40:31;2021-03-06T04:31:22;FRENCH
8;2021-03-06T09:36:44;2021-03-06T19:52:52;SPANISH
9;2021-03-06T08:17:53;2021-03-06T04:59:16;SPANISH
10;2021-03-06T16:29:57;2021-03-06T03:04:27;SPANISH
